dN,dE,dU,Sn,Se,Su,DOY,SITE
0.79,7.23,-0.14,1.67,2.04,7.51,193.00,MANI
3.17,6.77,4.76,1.99,2.49,8.75,194.00,MANI
4.03,8.25,-10.06,1.97,2.45,8.81,195.00,MANI
3.87,5.11,-9.70,2.10,2.57,9.52,196.00,MANI
-1.50,4.14,-3.09,2.71,3.26,12.14,197.00,MANI
-0.12,9.21,-8.48,2.59,3.01,11.45,198.00,MANI
5.06,3.68,-5.69,2.67,3.46,11.69,199.00,MANI
4.63,5.27,-1.32,2.11,2.57,9.64,200.00,MANI
4.62,5.61,-15.72,2.55,3.18,11.21,201.00,MANI
5.54,8.80,-0.66,2.64,3.15,11.99,202.00,MANI
1.96,4.41,1.59,3.59,4.73,16.85,203.00,MANI
2.31,8.15,-10.60,2.14,2.56,9.87,204.00,MANI
3.92,5.25,-11.66,1.81,2.14,8.18,205.00,MANI
1.57,9.04,-15.24,1.94,2.35,8.88,206.00,MANI
1.89,11.59,-7.34,2.05,2.77,9.19,207.00,MANI
4.76,9.17,-5.59,2.39,2.84,10.82,208.00,MANI
6.60,11.36,-12.76,2.35,2.86,10.75,209.00,MANI
5.56,13.40,-14.74,2.92,3.47,13.28,210.00,MANI
1.88,10.62,-23.06,1.64,1.87,7.45,211.00,MANI
2.36,8.50,-19.43,1.59,1.96,7.17,212.00,MANI
3.44,8.02,-16.45,1.95,2.49,8.93,213.00,MANI
-3.83,-7.65,-1.46,1.81,2.00,7.41,107.00,ROPA
-4.36,-3.50,2.48,2.02,2.26,8.37,108.00,ROPA
-3.68,-5.89,11.73,2.33,2.61,9.39,109.00,ROPA
-4.63,-8.19,-0.87,2.89,3.27,11.90,110.00,ROPA
-1.89,-8.70,0.45,2.02,2.34,8.40,111.00,ROPA
-6.90,-7.29,-6.19,2.09,2.43,8.54,112.00,ROPA
-6.61,-5.26,-0.15,2.15,2.52,8.76,113.00,ROPA
-2.71,-5.18,9.87,2.16,2.55,8.58,114.00,ROPA
-5.70,-3.67,1.76,1.95,2.22,7.87,115.00,ROPA
-3.91,-6.17,4.93,1.84,2.33,7.47,116.00,ROPA
-6.72,-5.73,12.10,2.36,2.79,9.80,117.00,ROPA
-4.33,-5.98,5.02,2.07,2.42,8.61,118.00,ROPA
-3.59,-5.97,6.54,2.08,2.29,8.39,119.00,ROPA
-3.82,-4.33,1.05,2.03,2.28,8.34,120.00,ROPA
-3.94,-4.98,-4.49,1.87,1.94,7.56,121.00,ROPA
-6.51,-6.64,0.73,1.93,2.17,7.83,122.00,ROPA
-4.00,-2.73,7.66,1.67,1.79,6.84,123.00,ROPA
-3.22,-4.39,4.01,2.12,2.41,8.98,124.00,ROPA
-2.65,-2.68,5.73,1.72,1.83,7.19,125.00,ROPA
-4.25,-8.09,1.27,1.92,2.01,7.84,126.00,ROPA
-0.80,-4.64,6.82,2.35,2.73,9.91,127.00,ROPA
-1.03,-6.09,2.80,2.16,2.51,9.09,128.00,ROPA
-2.97,-3.75,3.53,2.23,2.54,9.30,129.00,ROPA
-0.91,-3.72,-1.54,2.07,2.32,8.44,130.00,ROPA
-1.12,-2.72,-2.02,2.28,2.55,9.62,131.00,ROPA
-5.15,-3.64,1.72,1.97,2.21,8.07,132.00,ROPA
-4.17,0.76,1.37,2.36,2.75,10.04,133.00,ROPA
-4.26,-3.97,-5.01,2.07,2.43,8.55,134.00,ROPA
-3.73,-6.14,-4.23,2.13,2.60,8.90,135.00,ROPA
-1.58,-2.05,-5.30,1.87,2.08,7.78,136.00,ROPA
-1.30,-3.43,-5.03,2.11,2.33,8.81,137.00,ROPA
0.72,1.95,-2.34,2.39,2.73,10.00,138.00,ROPA
-1.13,-3.11,7.50,1.89,2.18,7.80,139.00,ROPA
-0.01,-1.93,-3.11,2.19,2.50,9.06,140.00,ROPA
2.17,-4.32,-3.08,2.42,2.76,10.12,141.00,ROPA
-1.19,0.72,-3.00,2.06,2.26,8.36,142.00,ROPA
-0.63,-0.93,8.66,2.23,2.53,9.11,143.00,ROPA
-0.74,-4.12,-3.08,1.98,2.27,8.25,144.00,ROPA
-1.21,-2.55,5.64,2.70,2.95,11.30,145.00,ROPA
0.10,-2.08,6.70,2.20,2.36,9.09,146.00,ROPA
-0.12,-0.29,-3.19,2.16,2.38,8.78,147.00,ROPA
2.40,-2.39,-12.17,2.78,3.09,11.14,148.00,ROPA
1.84,0.52,-0.45,1.90,2.11,7.99,149.00,ROPA
3.40,-1.35,8.97,2.93,3.29,12.27,150.00,ROPA
1.05,-4.96,0.22,3.02,3.41,12.75,151.00,ROPA
-0.31,0.75,0.47,2.72,3.09,11.07,152.00,ROPA
-0.94,1.82,6.36,2.57,2.95,10.77,153.00,ROPA
-1.00,-0.87,-1.28,2.01,2.30,8.25,154.00,ROPA
1.35,0.98,-1.49,3.08,3.40,12.59,155.00,ROPA
0.71,0.99,10.41,2.06,2.42,8.22,156.00,ROPA
-1.10,0.08,9.26,3.25,3.65,13.46,157.00,ROPA
2.86,1.37,-2.58,2.71,2.93,11.00,158.00,ROPA
-0.36,1.66,3.74,1.94,2.19,7.81,159.00,ROPA
0.10,1.78,-1.44,1.99,2.14,8.16,160.00,ROPA
-1.82,-0.70,-0.06,2.12,2.22,8.75,161.00,ROPA
2.67,3.67,6.93,2.43,2.65,10.02,162.00,ROPA
-0.03,0.50,1.31,2.23,2.48,9.13,163.00,ROPA
1.06,1.39,3.75,1.97,2.11,8.19,164.00,ROPA
2.26,0.92,4.39,2.21,2.38,9.14,165.00,ROPA
1.06,1.31,4.92,2.01,2.18,8.43,166.00,ROPA
1.11,0.12,-4.18,2.47,2.79,10.24,167.00,ROPA
0.64,-0.61,10.90,2.21,2.36,8.94,168.00,ROPA
4.12,2.74,-0.66,2.58,2.78,10.39,169.00,ROPA
3.07,1.50,-3.57,2.14,2.23,8.87,170.00,ROPA
4.08,3.57,5.53,3.77,3.98,15.14,171.00,ROPA
-0.13,3.16,5.67,2.32,2.50,9.75,172.00,ROPA
2.67,2.68,-0.36,1.96,2.10,8.32,173.00,ROPA
2.39,3.11,6.49,1.96,2.09,8.18,174.00,ROPA
2.50,-0.21,7.33,2.23,2.43,9.20,175.00,ROPA
-0.27,-0.21,4.24,2.59,2.80,10.58,176.00,ROPA
3.92,-0.22,-1.37,2.07,2.33,8.61,177.00,ROPA
0.95,0.56,3.82,2.30,2.48,9.42,178.00,ROPA
4.25,1.79,7.00,2.52,2.84,10.59,179.00,ROPA
1.91,0.23,-10.72,2.41,2.79,9.87,180.00,ROPA
2.10,3.28,6.95,2.38,2.63,9.53,181.00,ROPA
-1.16,1.55,1.48,2.77,2.99,11.53,182.00,ROPA
2.13,-1.62,-7.57,2.64,2.88,11.02,183.00,ROPA
8.17,0.00,11.79,4.25,4.72,17.81,184.00,ROPA
-1.22,5.41,18.94,3.36,3.63,14.03,185.00,ROPA
2.23,6.07,1.85,2.33,2.40,9.49,186.00,ROPA
-1.91,4.87,-8.98,3.03,3.22,12.66,187.00,ROPA
0.70,0.01,1.25,3.22,3.45,13.42,188.00,ROPA
4.31,2.81,-11.05,2.32,2.47,9.55,189.00,ROPA
1.71,2.16,-6.22,2.05,2.15,8.18,190.00,ROPA
1.22,1.80,-9.56,2.08,2.31,8.34,191.00,ROPA
1.76,0.49,-13.65,3.15,3.39,13.00,192.00,ROPA
-2.10,1.29,-1.06,2.63,2.72,10.65,193.00,ROPA
-1.31,4.59,0.29,2.89,3.11,12.00,194.00,ROPA
2.24,4.77,1.26,1.95,2.05,8.05,195.00,ROPA
2.63,5.51,-9.36,2.01,2.06,8.23,196.00,ROPA
