SITE,YR,DOY,OBS
MANI, 24,  191, 97.97
MANI, 24,  192, 94.34
MANI, 24,  193, 97.44
MANI, 24,  194, 94.17
MANI, 24,  195, 97.97
MANI, 24,  196, 95.71
MANI, 24,  197, 98.75
MANI, 24,  198, 94.28
MANI, 24,  199, 95.20
MANI, 24,  200, 94.42
MANI, 24,  201, 97.96
MANI, 24,  202, 98.57
MANI, 24,  203, 95.48
MANI, 24,  204, 98.93
MANI, 24,  205, 96.98
MANI, 24,  206, 94.97
MANI, 24,  207, 95.18
MANI, 24,  208, 94.27
MANI, 24,  209, 94.44
MANI, 24,  210, 97.83
MANI, 24,  211, 97.98
MANI, 24,  212, 98.44
MANI, 24,  213, 95.36
MANI, 24,  214, 98.41
MANI, 24,  215, 98.76
MANI, 24,  216, 97.86
MANI, 24,  217, 98.03
MANI, 24,  218, 93.39
MANI, 24,  219, 94.54
MANI, 24,  220, 94.05
MANI, 24,  221, 97.02
ROPA, 24,  105, 95.52
ROPA, 24,  106, 93.83
ROPA, 24,  107, 96.27
ROPA, 24,  108, 94.23
ROPA, 24,  109, 97.39
ROPA, 24,  110, 96.85
ROPA, 24,  111, 96.69
ROPA, 24,  112, 95.86
ROPA, 24,  113, 97.08
ROPA, 24,  114, 96.11
ROPA, 24,  115, 95.56
ROPA, 24,  116, 94.25
ROPA, 24,  117, 93.94
ROPA, 24,  118, 93.64
ROPA, 24,  119, 95.13
ROPA, 24,  120, 98.66
ROPA, 24,  121, 94.38
ROPA, 24,  122, 94.67
ROPA, 24,  123, 94.57
ROPA, 24,  124, 94.69
ROPA, 24,  125, 94.05
ROPA, 24,  126, 94.60
ROPA, 24,  127, 93.93
ROPA, 24,  128, 94.70
ROPA, 24,  129, 94.12
ROPA, 24,  130, 93.67
ROPA, 24,  131, 95.60
ROPA, 24,  132, 94.04
ROPA, 24,  133, 94.67
ROPA, 24,  134, 94.96
ROPA, 24,  135, 94.61
ROPA, 24,  136, 98.34
ROPA, 24,  137, 94.77
ROPA, 24,  138, 93.83
ROPA, 24,  139, 94.25
ROPA, 24,  140, 95.06
ROPA, 24,  141, 93.96
ROPA, 24,  142, 97.49
ROPA, 24,  143, 94.54
ROPA, 24,  144, 98.93
ROPA, 24,  145, 94.42
ROPA, 24,  146, 95.04
ROPA, 24,  147, 94.56
ROPA, 24,  148, 93.97
ROPA, 24,  149, 94.47
ROPA, 24,  150, 98.22
ROPA, 24,  151, 97.09
ROPA, 24,  152, 96.67
ROPA, 24,  153, 98.74
ROPA, 24,  154, 93.66
ROPA, 24,  155, 94.18
ROPA, 24,  156, 98.48
ROPA, 24,  157, 97.78
ROPA, 24,  158, 95.61
ROPA, 24,  159, 93.15
ROPA, 24,  160, 98.41
ROPA, 24,  161, 94.84
ROPA, 24,  162, 94.65
ROPA, 24,  163, 98.99
ROPA, 24,  164, 94.70
ROPA, 24,  165, 94.07
ROPA, 24,  166, 94.66
ROPA, 24,  167, 98.79
ROPA, 24,  168, 95.19
ROPA, 24,  169, 95.11
ROPA, 24,  170, 98.01
ROPA, 24,  171, 95.38
ROPA, 24,  172, 98.34
ROPA, 24,  173, 98.44
ROPA, 24,  174, 94.71
ROPA, 24,  175, 98.57
ROPA, 24,  176, 98.09
ROPA, 24,  177, 93.65
ROPA, 24,  178, 98.81
ROPA, 24,  179, 98.68
