SITE,CONST,YR,DOY,MP1,MP2,MP5,OSMP1,OSMP2,OSMP5,OSGF,OSMW,OSIOD,S1,S2,S5X
ROPA,R,24,219,0.3109,0.2364,0,491.278,491.278,0,1179.07,346.784,589.533,44.13354692,44.55463078,
ROPA,R,24,220,0.2888,0.2245,0,811,998.154,0,1622,147.455,1441.78,43.58250716,44.24589368,
ROPA,R,24,221,0.2474,0.2529,0,337.75,337.75,0,337.75,79.4706,337.75,42.85027557,42.91206514,
ROPA,R,24,222,0.3073,0.2413,0,315.981,315.981,0,461.162,262.508,363.043,44.2755,0,0
ROPA,R,24,223,0.3325,0.2385,0,284.5,328.269,0,487.714,233.836,341.4,44.2396,0,0
ROPA,R,24,224,0.3201,0.2426,0,393.955,368.809,0,642,279.581,559.161,44.4243,0,0
ROPA,R,24,225,0.3075,0.2454,0,356.837,437.125,0,624.464,230.066,624.464,44.363,0,0
ROPA,R,24,226,0.3056,0.2275,0,398.395,420.528,0,688.136,124.09,688.136,44.3875,0,0
ROPA,R,24,227,0.3193,0.234,,181.614,202.304,0,389.805,121.076,280.386,42.459,43.433,0
ROPA,R,24,228,0.3302,0.2528,,225.227,272.452,0,359.404,172.367,291.241,42.459,43.433,0
ROPA,R,24,229,0.3111,0.2332,,312.218,336.706,0,536.625,256.299,418.829,42.459,43.433,0
ROPA,R,24,230,0.3582,0.2414,,316.296,328.462,0,776.364,196.322,474.444,42.459,43.433,0
ROPA,R,24,231,0.3389,0.2453,,311.839,286.279,0,425.927,329.491,371.553,42.459,43.433,0
ROPA,R,24,232,0.3317,0.23,,280.016,328.481,0,517.606,299.667,502.382,42.459,43.433,0
ROPA,R,24,232,0.3317,0.23,,280.016,328.481,0,517.606,299.667,502.382,42.459,43.433,0
ROPA,R,24,233,0.3325,0.2387,,589.276,1708.9,0,2848.167,267.016,2848.167,42.459,43.433,0
ROPA,R,24,234,0.3261,0.2384,,377.304,619.857,0.000,1239.714,309.929,1239.714,42.459,43.433,0.000
TRIV,C,24,102,0.3617,0.1993,0.2704,328.179,452.767,199.792,656.357,107.474,427.395,43.28537299,,43.7323603
TRIV,C,24,103,0.2702,0.2039,0.1763,1051.19,869.148,0,1242.32,227.758,976.107,43.00323202,,43.40388199
TRIV,C,24,104,0.32,0.2137,0.2772,514.86,718.375,137.75,1170.14,187.905,757.147,42.86090603,,43.23960073
TRIV,C,24,105,0.2726,0.22,0.163,1120.95,847.808,0,1644.07,265.172,1297.95,42.98258784,,43.85851795
TRIV,C,24,106,0.2245,0.1751,0.1739,3060.62,3661.17,839.333,6121.25,445.182,6121.25,43.16174121,,44.0672359
TRIV,C,24,107,0.2233,0.2213,0.1719,5153.2,4648.6,2523,6441.5,262.918,6441.5,43.18243188,,43.63579073
TRIV,C,24,108,0.244,0.243,0.2089,0,0,0,0,292.944,0,43.00114021,,43.32102804
TRIV,C,24,109,0.2608,0.176,0.223,807.486,1049.82,322.875,1766.38,182.335,1009.36,43.01635851,,43.79479489
