SITE,YR,DOY,TD,PR,HR
ROPA, 24, 173, 29.8175, 969.59, 63.9063
ROPA, 24, 174, 33.9139, 969.255, 51.8806
ROPA, 24, 175, 33.9196, 969.434, 53.6535
ROPA, 24, 176, 33.0432, 968.457, 56.8382
ROPA, 24, 177, 35.2203, 969.006, 47.9409
ROPA, 24, 178, 33.2507, 968.862, 62.3951
ROPA, 24, 179, 29.0818, 971.673, 82.1867
ROPA, 24, 180, 31.4418, 969.013, 71.2519
ROPA, 24, 181, 32.3244, 967.923, 68.184
ROPA, 24, 182, 31.7857, 966.83, 72.2659
ROPA, 24, 183, 31.958, 964.436, 72.6395
ROPA, 24, 184, 30.3253, 963.969, 79.4694
ROPA, 24, 185, 29.5496, 966.977, 80.7342
ROPA, 24, 186, 29.3136, 969.682, 83.4437
ROPA, 24, 187, 30.3857, 966.246, 72.9629
ROPA, 24, 188, 28.602, 966.127, 77.0355
ROPA, 24, 189, 30.7625, 969.515, 71.5365
ROPA, 24, 190, 30.7251, 972.378, 71.6658
ROPA, 24, 191, 32.7059, 972.234, 68.3063
ROPA, 24, 192, 32.2358, 971.346, 70.9116
ROPA, 24, 193, 33.1733, 966.658, 65.58
ROPA, 24, 194, 28.7271, 966.802, 72.3674
ROPA, 24, 195, 30.3171, 968.729, 68.8281
ROPA, 24, 196, 32.5867, 967.576, 65.8308
ROPA, 24, 197, 33.2035, 970.316, 66.6762
ROPA, 24, 198, 31.7619, 970.927, 70.9234
ROPA, 24, 199, 29.7112, 971.408, 78.9846
ROPA, 24, 200, 32.0142, 968.647, 73.2722
ROPA, 24, 201, 32.8451, 967.687, 70.2171
ROPA, 24, 202, 32.6882, 968.786, 71.4663
ROPA, 24, 203, 31.3229, 968.6, 78.3187
ROPA, 24, 204, 32.1658, 968.252, 73.3954
ROPA, 24, 206, 31.0352, 964.052, 78.8864
ROPA, 24, 207, 31.2303, 963.992, 78.8956
ROPA, 24, 208, 30.9768, 965.443, 78.3946
ROPA, 24, 209, 31.4416, 967.852, 79.9091
ROPA, 24, 210, 33.2703, 967.933, 67.7668
ROPA, 24, 211, 32.4149, 968.496, 72.6625
ROPA, 24, 212, 33.3788, 969.308, 71.7824
ROPA, 24, 213, 31.6773, 967.713, 79.7294
ROPA, 24, 214, 29.0436, 969.217, 84.0403
ROPA, 24, 215, 30.1832, 968.082, 78.2385
ROPA, 24, 216, 31.2539, 970.293, 73.2393
ROPA, 24, 217, 31.0592, 971.5, 72.8129
ROPA, 24, 218, 29.9893, 971.142, 79.2589
ROPA, 24, 219, 30.2491, 968.996, 77.6523
ROPA, 24, 220, 28.8939, 971.068, 78.9127
ROPA, 24, 221, 27.2636, 971.891, 86.9091
ROPA, 24, 222, 30.8437, 973.104, 74.5574
ROPA, 24, 223, 29.9614, 971.691, 80.0158
ROPA, 24, 224, 24.6348, 971.457, 95.6237
ROPA, 24, 225, 28.7551, 451.188, 35.4412
ROPA, 24, 226, 30.0984, 3.96016, -4.69349
TRIV, 24, 102, 28.991, 996.038, 80.9379
TRIV, 24, 103, 27.6951, 996.429, 85.5751
TRIV, 24, 104, 28.0335, 996.369, 78.7167
TRIV, 24, 105, 29.8655, 996.69, 70.239
TRIV, 24, 106, 29.4063, 997.053, 73.299
TRIV, 24, 107, 29.5913, 997.037, 74.5028
TRIV, 24, 108, 30.3049, 996.84, 71.6199
TRIV, 24, 109, 30.6846, 995.648, 73.3351
TRIV, 24, 110, 30.1823, 994.52, 74.058
TRIV, 24, 111, 29.3817, 994.313, 80.2997
TRIV, 24, 112, 28.2678, 994.9, 80.6738
TRIV, 24, 113, 28.222, 995.203, 75.4608
TRIV, 24, 114, 30.0916, 994.11, 67.9477
TRIV, 24, 115, 29.8244, 994.329, 71.5304
TRIV, 24, 116, 30.6042, 994.163, 70.3871
TRIV, 24, 117, 31.0073, 994.202, 67.5283
TRIV, 24, 118, 30.7885, 994.4, 73.2552
TRIV, 24, 119, 30.7245, 995.117, 70.8885
TRIV, 24, 120, 29.6108, 995.785, 79.3792
TRIV, 24, 121, 28.1373, 995.246, 85.3048
TRIV, 24, 122, 30.9392, 993.616, 72.5531
TRIV, 24, 123, 31.8601, 993.927, 72.7364
TRIV, 24, 124, 31.2692, 995.392, 70.3035
TRIV, 24, 125, 33.3186, 994.522, 62.8972
TRIV, 24, 126, 31.4618, 994.995, 68.5093
TRIV, 24, 127, 28.9584, 995.522, 71.3194
TRIV, 24, 128, 30.373, 996.146, 64.7814
TRIV, 24, 129, 30.3875, 994.993, 69.4265
TRIV, 24, 130, 33.4581, 994.768, 58.7547
TRIV, 24, 131, 27.6836, 995.861, 83.6381
TRIV, 24, 132, 28.8526, 996.664, 76.4864
TRIV, 24, 133, 26.8106, 995.449, 85.9006
TRIV, 24, 134, 26.5401, 995.371, 86.822
TRIV, 24, 135, 27.1129, 996.056, 87.0376
TRIV, 24, 136, 27.3797, 996.021, 85.501
TRIV, 24, 137, 25.6149, 995.954, 91.4183
TRIV, 24, 138, 25.8621, 994.497, 94.3941
TRIV, 24, 139, 26.3749, 993.663, 94.5474
TRIV, 24, 140, 27.2979, 992.608, 82.9491
TRIV, 24, 141, 25.25, 993.498, 91.7649
TRIV, 24, 142, 25.99, 992.367, 94.5042
TRIV, 24, 143, 25.4582, 991.194, 96.876
TRIV, 24, 144, 25.6223, 991.153, 97.4386
TRIV, 24, 145, 25.4337, 991.671, 96.2421
TRIV, 24, 146, 26.0778, 993.489, 88.5712
TRIV, 24, 147, 25.3341, 994.446, 93.7143
TRIV, 24, 148, 27.3286, 994.509, 83.2334
TRIV, 24, 149, 25.9757, 994.852, 88.1844
TRIV, 24, 150, 25.4497, 994.224, 93.5309
TRIV, 24, 151, 26.1345, 994.09, 88.7779
TRIV, 24, 152, 27.6762, 994.23, 83.1346
TRIV, 24, 153, 27.8622, 994.228, 82.9992
TRIV, 24, 154, 27.9976, 995.101, 82.4683
TRIV, 24, 155, 28.2191, 995.683, 80.9063
TRIV, 24, 156, 28.6783, 996.548, 78.4847
TRIV, 24, 157, 28.7889, 997.059, 80.224
TRIV, 24, 158, 27.9703, 997.029, 85.4594
TRIV, 24, 159, 26.4925, 996.435, 93.6386
TRIV, 24, 160, 24.9518, 996.62, 98.7512
TRIV, 24, 161, 26.8378, 996.836, 87.9105
TRIV, 24, 162, 27.5162, 997.244, 84.3736
TRIV, 24, 163, 28.5128, 997.353, 78.8875
TRIV, 24, 164, 27.5253, 998.215, 84.5098
TRIV, 24, 165, 29.1564, 996.621, 74.8819
TRIV, 24, 166, 26.9847, 996.54, 85.3883
TRIV, 24, 167, 26.7525, 995.948, 83.7516
TRIV, 24, 168, 28.6589, 995.808, 74.4645
TRIV, 24, 169, 29.1133, 996.063, 77.0951
TRIV, 24, 170, 26.6296, 996.339, 90.8962
TRIV, 24, 171, 25.0704, 995.758, 97.6463
TRIV, 24, 172, 25.5568, 995.614, 90.5651
TRIV, 24, 173, 26.6781, 995.471, 84.2572
TRIV, 24, 174, 26.9053, 994.263, 83.2845
TRIV, 24, 175, 26.5276, 993.994, 86.4625
TRIV, 24, 176, 25.4029, 993.801, 89.3775
TRIV, 24, 177, 24.9547, 994.508, 95.8975
TRIV, 24, 178, 24.3496, 994.91, 94.9072
TRIV, 24, 179, 25.4908, 995.674, 91.383
TRIV, 24, 180, 27.4259, 995.496, 82.8575
TRIV, 24, 181, 27.068, 996.302, 84.2649
TRIV, 24, 182, 28.3922, 996.713, 78.4241
TRIV, 24, 183, 26.1788, 996.952, 83.9582
TRIV, 24, 184, 27.788, 995.286, 80.6184
TRIV, 24, 185, 28.4937, 996.141, 79.6706
TRIV, 24, 186, 28.9543, 996.098, 75.6411
TRIV, 24, 187, 26.8588, 995.723, 83.8695
TRIV, 24, 188, 27.1636, 994.976, 79.8107
TRIV, 24, 189, 28.195, 994.842, 75.4289
TRIV, 24, 190, 26.3837, 994.954, 77.7145
TRIV, 24, 191, 27.515, 996.136, 77.4031
TRIV, 24, 192, 27.9908, 997.708, 76.2319
TRIV, 24, 193, 28.6379, 996.04, 73.5675
TRIV, 24, 194, 26.8136, 995.712, 79.631
TRIV, 24, 195, 25.1222, 996.022, 89.7892
TRIV, 24, 196, 26.8234, 994.233, 83.3418
TRIV, 24, 197, 24.0843, 994.983, 95.1773
TRIV, 24, 198, 25.8601, 995.261, 86.9331
TRIV, 24, 199, 24.8693, 996.415, 92.3194
TRIV, 24, 200, 25.6506, 995.963, 85.8711
TRIV, 24, 201, 27.4669, 994.96, 80.2892
TRIV, 24, 202, 27.5217, 995.341, 81.5584
TRIV, 24, 203, 27.9125, 996.113, 77.8688
TRIV, 24, 204, 26.5853, 997.923, 87.8443
TRIV, 24, 205, 28.7429, 997.89, 76.2616
TRIV, 24, 206, 29.5846, 995.533, 70.2454
TRIV, 24, 207, 27.5865, 995.175, 78.1027
TRIV, 24, 208, 28.1725, 995.665, 78.4784
TRIV, 24, 209, 27.8979, 995.127, 80.0762
TRIV, 24, 210, 26.4702, 994.463, 90.1097
TRIV, 24, 211, 24.9203, 994.793, 94.2347
TRIV, 24, 212, 25.8614, 996.598, 82.827
TRIV, 24, 213, 26.2324, 997.393, 82.0244
TRIV, 24, 214, 27.6864, 997.051, 78.3721
TRIV, 24, 215, 28.4851, 996.685, 72.6638
TRIV, 24, 216, 27.4365, 997.51, 74.3639
TRIV, 24, 217, 28.0614, 997.03, 69.7565
TRIV, 24, 218, 27.7187, 997.01, 74.63
TRIV, 24, 219, 27.2676, 995.76, 75.8701
TRIV, 24, 220, 27.8437, 996.23, 75.1521
TRIV, 24, 221, 25.6423, 997.081, 85.5808
TRIV, 24, 222, 28.3304, 997.279, 70.8178
TRIV, 24, 223, 27.2, 996.651, 83.416
TRIV, 24, 224, 27.8497, 994.249, 78.2528
TRIV, 24, 225, 27.0518, 993.056, 83.4617
TRIV, 24, 226, 26.7211, 993.678, 87.6884
MANI,24,227,27.939,944.717,79.756
MANI,24,228,26.561,943.493,84.114
MANI,24,229,27.404,943.549,78.051
MANI,24,230,28.582,945.180,72.763
MANI,24,231,27.941,946.161,77.383
ROPA,24,227,28.980,977.961,84.784
ROPA,24,228,29.438,0.000,
ROPA,24,229,30.764,0.000,
ROPA,24,230,28.899,0.000,
ROPA,24,231,30.158,0.000,
TRIV,24,227,26.439,993.800,84.841
TRIV,24,228,26.622,992.747,86.293
TRIV,24,229,26.330,993.262,90.415
TRIV,24,230,26.034,994.821,89.639
TRIV,24,231,27.481,994.504,81.389
